"TAB_MEASURE_LABEL","n"
"Nombre de places – Hôtels et hébergement similaire x 3 étoiles",41770
"Nombre de places – Terrains de camping et parcs pour caravanes ou véhicules de loisirs x 5 étoiles",41770
"Établissements – Auberges de jeunesse et centres sportifs",41770
"Population – Aucun diplôme ou certificat d'études primaires x Homme",41770
"Population – Aucun diplôme",41770
"Établissements – Hôtels et hébergement similaire x 5 étoiles",41770
"Établissements – Terrains de camping et parcs pour caravanes ou véhicules de loisirs",41770
"Population – Aucun diplôme ou BEPC, brevet des collèges, DNB",41770
"Population – Aucun diplôme ou BEPC, brevet des collèges, DNB x Homme",41770
"Établissements – Terrains de camping et parcs pour caravanes ou véhicules de loisirs x 2 étoiles",41770
"Nombre de place-lits – Villages vacances et maisons familiales",41770
"Population – CEP (certificat d’études primaires)",41770
"Établissements – Hôtels et hébergement similaire",41770
"Population – Diplôme universitaire 2e ou 3e cycle x Femme",41770
